ZIP,date,Number of returns,Paid Preparer Helped,Number of exemptions,Number of dependents,Number of Salaries in AGI,Number of farm returns,Net capital gain (less loss) in AGI,Unemployment compensation,Social Security benefits in AGI,Taxes paid,Total tax credits,Residential energy credit,Alternative minimum tax,Overpayments refunded,Additional Medicare tax
91741,2010,11886,8096,24673,8010,9402,25,2533,1142,1781,6203,4158,546,805,8804,0
91744,2010,34105,26306,84464,34183,29746,0,1011,4830,1477,8895,12961,557,179,29542,0
91745,2010,24314,16700,51623,17063,19307,0,4025,2659,2733,9797,8508,844,751,18331,0
91746,2010,12631,9724,30656,12213,10695,0,446,1758,655,3527,4758,247,69,10781,0
91748,2010,20437,14304,43707,14289,16492,0,3236,2011,1435,6806,6434,501,671,15342,0
91750,2010,15703,10466,31415,9601,12491,0,2831,1781,2314,7448,5344,718,797,11773,0
91752,2010,11881,8499,28778,11075,10031,27,708,1896,756,4385,4265,285,200,9703,0
91754,2010,16498,11291,31582,9144,12265,0,2773,1568,1736,4914,4855,450,450,12139,0
91755,2010,12421,8532,23877,6873,9479,0,1966,1260,988,3405,3410,290,226,9217,0
91761,2010,24253,17367,57778,22339,21377,0,1206,3752,1269,8315,9220,585,243,20379,0
91762,2010,24018,17881,58168,23061,20582,20,1188,3589,1381,6591,8600,472,175,20497,0
91763,2010,15225,11529,37061,14636,13121,0,668,2156,803,4266,5431,272,90,12984,0
91764,2010,21627,16028,53221,21137,19126,0,750,3328,868,5331,8077,393,101,18811,0
91765,2010,21579,14120,45914,15193,17632,0,4644,2189,2113,10917,7690,936,1280,15820,0
91766,2010,26635,20682,66856,27264,23276,0,1236,3892,1032,7013,9538,487,284,23054,0
91767,2010,19022,14113,44519,17430,16209,0,1052,2658,1176,5800,6730,397,140,16205,0
91768,2010,12399,9617,29897,11869,10773,0,483,1713,532,3236,4295,204,92,10851,0
91770,2010,27139,19779,56731,19152,22506,0,2575,3118,1386,6157,7792,409,231,21797,0
91773,2010,15899,10600,31429,9649,13009,0,2555,1841,1989,7675,5393,676,757,11951,0
91775,2010,10667,7042,22500,7077,8433,0,2596,990,1190,4773,3795,418,665,7863,0
91776,2010,17564,12349,34882,10731,13853,0,2011,1794,820,3893,4811,244,241,13274,0
91780,2010,16137,10836,33096,10644,12862,0,3017,1682,1469,6083,5477,515,427,12203,0
91784,2010,12154,8302,25223,7613,9394,28,3163,1126,2109,7199,4254,682,1061,8633,0
91786,2010,21900,14528,45571,15835,18406,0,1935,3038,1933,7040,7599,613,327,17644,0
91789,2010,19623,12854,42158,14006,15961,0,4459,1989,1881,9558,6914,870,1281,14357,0
91790,2010,19089,13375,41701,15289,16120,0,1454,2569,1509,6982,7192,545,275,15553,0
