ZIP,date,Number of returns,Paid Preparer Helped,Number of exemptions,Number of dependents,Number of Salaries in AGI,Number of farm returns,Net capital gain (less loss) in AGI,Unemployment compensation,Social Security benefits in AGI,Taxes paid,Total tax credits,Residential energy credit,Alternative minimum tax,Overpayments refunded,Additional Medicare tax
92802,2014,18060,13240,41290,18360,15770,0,1290,1120,1140,3720,5850,100,140,14820,50
92804,2014,37240,26600,81130,33210,32270,0,2720,2520,2470,8730,11800,250,290,29880,90
92805,2014,30880,23680,73840,34730,27840,0,1570,2050,1230,6520,10350,170,200,26040,70
92806,2014,18120,12610,38160,14970,15720,0,1690,1240,1500,4860,5750,150,230,14160,100
92807,2014,17590,11620,35270,10940,14130,0,4400,1130,2980,8890,5580,360,1190,11400,680
92808,2014,9450,6110,19200,6240,7970,0,2640,590,1020,5470,2880,150,1050,5900,670
92821,2014,18480,11480,36880,11930,15370,0,3710,1140,2360,7760,5940,270,900,12870,510
92823,2014,1860,1190,4090,1390,1500,0,550,120,250,1060,630,0,210,1140,120
92831,2014,15350,9600,30020,10570,13080,0,2490,860,1580,4790,4890,160,580,11420,320
92832,2014,10920,7340,22440,8690,9550,0,1000,720,720,2800,3410,80,160,8640,80
92833,2014,23060,16090,49890,18700,19110,0,3220,1390,2200,8080,7480,240,760,16720,390
92835,2014,11540,7540,22900,6990,8720,0,3650,510,2290,5950,3720,180,1140,7060,650
92840,2014,24330,17570,51790,20370,20800,0,2130,1740,1560,6350,7610,170,200,19280,80
92841,2014,14950,10890,31230,11780,12340,0,1510,960,1100,3740,4340,90,160,11480,60
92843,2014,19920,15580,44250,18430,16900,0,1390,1460,840,4060,6010,70,120,16020,40
92844,2014,10510,7900,22000,8290,8740,0,860,710,540,2230,2900,60,50,8120,0
92845,2014,8050,5070,15850,4900,6370,0,1650,490,1380,3840,2570,130,280,5660,130
92860,2014,10840,7400,21860,7210,8750,80,1490,790,1410,4910,3030,240,450,7610,180
92861,2014,2870,2120,5710,1580,2040,0,1370,130,750,1760,960,60,600,1390,370
92865,2014,9710,6420,19840,6970,8190,0,1430,710,1020,3770,2980,110,290,7100,150
92866,2014,6950,4460,13320,4480,5820,0,980,490,700,2090,2040,30,160,5080,100
92867,2014,20180,14100,45570,18420,16750,0,4010,1150,2380,7910,6420,280,1330,14220,790
92868,2014,10610,7100,21010,7660,9470,0,940,810,610,2810,3210,70,110,8300,60
92869,2014,17860,12390,37290,13170,14590,30,3970,1060,2410,7900,5460,270,1180,12240,700
92870,2014,24500,16080,51630,18950,20410,0,4420,1480,3180,9560,7930,380,960,17630,450
92879,2014,20160,14010,45300,19150,17620,0,1490,1660,1420,6530,6660,210,320,15820,120
92880,2014,27290,18460,66210,27840,24220,0,3240,2250,1500,13830,10580,510,1280,20620,400
92881,2014,12500,8160,28570,11210,10840,0,1870,840,1150,6170,4380,280,690,8970,360
92882,2014,28720,19470,65660,27180,25120,0,2930,2190,2170,10840,9860,410,800,22140,370
92883,2014,12800,8420,29280,10920,10510,0,2160,940,1820,7190,4410,280,760,8940,350
92886,2014,22280,14330,46040,14660,17670,20,6680,1190,3680,12150,7140,430,2500,13860,1540
92887,2014,9820,6320,19880,6210,8130,0,3180,580,1370,5620,3150,190,1360,6100,900
93001,2014,15530,9580,30130,10290,12730,50,2600,970,1720,4540,4460,110,580,10990,300
93003,2014,24230,14030,45620,13840,19080,60,4920,1580,3860,9050,7510,310,890,16310,460
93004,2014,13810,8160,27820,9200,11240,30,2530,980,2130,5700,4470,200,380,9590,170
93010,2014,20260,12390,40110,12460,15890,100,4840,1210,3690,8640,6510,320,1050,13590,530
93012,2014,16290,9810,31870,9350,12250,130,5000,930,3340,8390,5100,280,1280,10000,790
93013,2014,7850,5020,15920,5450,6160,120,1760,360,1230,2560,2480,60,340,5190,120
93015,2014,7340,5330,17830,7990,6490,110,520,860,610,2160,2670,30,100,5870,30
93021,2014,17340,10880,37020,13470,14900,80,3830,1290,1790,7950,5850,300,1240,12160,790
93022,2014,2930,1890,5860,1820,2240,0,600,200,470,1230,850,70,100,1970,40
93023,2014,9410,6170,17590,4980,6640,150,2410,480,1830,3720,2750,120,550,5690,250
93030,2014,25820,19130,65700,32920,23480,0,1300,2640,1450,5520,9450,150,210,21470,70
93033,2014,36890,29050,100750,53870,33880,0,870,4340,1920,5670,13890,150,80,31770,0
93035,2014,13410,8740,26470,8630,10760,0,2350,1060,2120,5200,4260,120,470,9350,220
93036,2014,19640,13620,44880,19320,17360,30,1610,1760,1600,5560,6830,120,330,15490,120
93041,2014,9910,6180,22230,9040,8510,0,880,860,1030,2410,3670,50,80,7860,30
93060,2014,14210,9770,34610,15840,12500,150,1020,1860,1330,3310,4920,60,190,11510,70
93063,2014,26160,16320,51740,16440,21810,20,4890,2270,3500,11980,8140,410,1080,18530,580
93065,2014,34070,21440,69310,23300,28550,40,6520,2520,4160,15340,10630,580,1920,24090,1180
93066,2014,1650,1210,3430,1120,1250,170,450,110,310,690,580,20,140,1020,70
93101,2014,15400,8600,28520,9760,13060,0,2440,650,1210,3330,4190,60,460,10830,240
93103,2014,9410,5820,18090,6230,7630,0,1880,410,1150,2600,2810,50,500,6330,210
93105,2014,12630,7830,21960,5280,8950,60,4590,550,2810,5770,4000,160,1220,6890,560
93108,2014,4800,3690,8380,1840,2620,70,2750,120,1640,2970,1890,60,1130,1780,420
93109,2014,5260,3050,8660,1880,3820,0,1860,230,1010,2310,1560,70,550,2920,310
93110,2014,7640,4660,14130,4040,5620,30,2400,320,1540,3070,2540,90,650,4460,320
93111,2014,9020,5270,17090,4920,6820,40,2900,370,1850,4080,2980,150,680,5470,380
93117,2014,17540,9080,32680,10550,14870,90,3520,660,2070,5260,5380,150,690,12340,370
93202,2014,1540,980,3940,1850,1410,0,40,350,130,190,530,0,0,1320,0
93203,2014,8270,6710,24260,13290,7970,0,80,2640,170,610,2980,20,0,7230,0
93204,2014,3920,3360,12520,7590,3690,0,40,810,100,370,1480,0,0,3570,0
93205,2014,630,280,1180,320,420,0,60,60,130,100,100,0,0,470,0
93206,2014,870,710,2400,1220,790,20,50,130,60,140,320,0,0,720,0
93210,2014,4990,3540,12200,5570,4530,50,350,650,390,1330,1750,70,70,3970,30
93212,2014,5040,3360,13800,7170,4600,20,200,1120,320,850,1930,40,40,4310,20
93215,2014,18040,12860,46030,22870,17180,40,370,5850,650,2740,6330,70,80,15330,20
93219,2014,3720,2770,10210,5490,3590,0,40,1340,80,260,1200,0,0,3260,0
93221,2014,5710,3760,12940,5080,4800,300,710,710,750,1680,1890,100,130,4300,80
93223,2014,3720,2700,10190,5400,3460,0,50,690,130,340,1290,20,0,3330,0
93224,2014,150,110,360,140,140,0,0,0,20,30,40,0,0,110,0
93225,2014,2000,1250,3910,1160,1540,0,230,210,330,730,480,0,20,1430,0
93226,2014,110,80,230,60,80,0,0,0,30,40,30,0,0,70,0
93230,2014,24860,14220,58250,24630,21600,320,2260,2870,2600,6670,8530,340,360,19510,180
93235,2014,1650,1250,4360,2170,1520,0,30,430,80,140,560,0,0,1490,0
93238,2014,670,380,1210,250,420,0,140,80,180,240,140,0,0,420,0
93239,2014,590,500,1790,1060,550,0,0,140,0,0,220,0,0,540,0
93240,2014,2060,1070,4250,1340,1410,0,240,170,440,490,430,30,0,1490,0
93241,2014,6990,5370,19660,10940,6700,0,50,1410,140,410,2250,20,0,6320,0
93242,2014,1400,1000,3780,1840,1220,60,90,240,100,220,440,0,0,1130,0
93243,2014,580,360,1190,400,450,0,50,40,80,180,130,0,0,420,0
93244,2014,190,120,410,130,140,30,30,20,40,60,50,0,0,130,0
93245,2014,14420,7440,33790,13730,12490,230,1070,1420,1130,3660,5920,260,170,11870,60
93247,2014,6350,4240,16590,8260,5780,170,270,1690,330,830,2120,50,40,5390,0
93249,2014,1080,1000,3920,2500,1070,0,0,130,0,50,510,0,0,1000,0
93250,2014,5090,3850,14050,7410,4900,20,70,1650,150,580,1870,0,0,4390,0
93252,2014,490,320,1150,470,410,0,30,40,60,90,110,0,0,380,0
93254,2014,300,230,830,390,250,0,20,30,30,50,120,0,0,230,0
93255,2014,180,80,350,90,110,0,0,0,50,30,20,0,0,120,0
93256,2014,1870,1460,5700,3250,1740,30,40,330,60,140,630,0,0,1640,0
93257,2014,26350,18420,65080,30580,23190,290,1660,4580,2210,5410,9030,500,230,21730,80
93263,2014,7660,5820,21270,10980,7000,60,290,1300,430,1470,3000,60,80,6370,50
93265,2014,1600,1030,3300,920,1110,70,350,100,410,730,450,50,50,1030,30
93266,2014,600,390,1660,850,550,0,20,150,40,80,220,0,0,520,0
93267,2014,2250,1590,5930,2920,1990,100,130,520,160,300,750,20,0,1890,0
93268,2014,6160,3800,15730,7460,5430,0,360,400,600,1420,1930,70,70,4980,20
93270,2014,2340,1730,6370,3120,2130,120,120,810,180,370,740,0,0,1920,0
93271,2014,1050,630,1930,430,740,30,270,120,260,440,280,30,20,640,0
93272,2014,1240,990,3990,2280,1130,30,70,130,50,130,440,0,0,1050,0
93274,2014,25970,16940,66830,32360,23040,260,1750,2530,2030,6170,9200,340,310,21340,130
93277,2014,20810,12280,44740,17030,17300,120,2570,1790,2730,6420,6720,310,340,15750,190
93280,2014,8270,6530,22680,11860,7760,40,190,1700,350,1400,3080,50,40,7060,30
93283,2014,570,280,1140,300,370,0,90,50,120,120,80,0,0,390,0
93285,2014,770,430,1380,280,390,0,150,50,250,190,110,0,0,480,0
93286,2014,3470,2560,8830,4180,3140,130,160,670,260,560,1100,30,30,2920,0
93291,2014,20260,13280,50110,22790,17930,180,2150,2000,1620,6310,7350,270,580,16000,350
93292,2014,15520,9710,35400,14470,13250,390,1670,1610,1660,4850,5340,240,250,11940,130
93301,2014,5000,3050,10060,4000,4110,0,490,350,450,1010,1270,40,100,3900,80
93304,2014,18700,12390,44170,21020,16370,0,550,1940,1000,2690,5660,130,70,15830,20
93305,2014,12520,8180,30790,15380,10860,0,410,1480,650,1640,3490,90,90,10750,30
93306,2014,27090,18100,63660,27530,23200,40,2230,2600,3020,7750,9210,410,490,21420,220
93307,2014,29950,21440,78270,40030,26810,50,570,3970,1000,4350,9820,240,130,25960,20
93308,2014,19640,11810,41780,15580,16650,100,1800,1540,2400,6160,6060,310,410,15270,190
93309,2014,24950,15500,51610,19800,20980,40,2430,1970,3010,6680,8050,360,490,19340,230
93311,2014,18560,12250,41960,16000,16020,60,3080,1180,1870,9290,7020,380,1300,13120,860
93312,2014,23620,15430,54000,20420,20440,70,3230,1520,2650,12550,8850,560,1160,17080,620
93313,2014,19410,13360,46990,20550,17050,50,1080,1720,1220,7040,7680,340,260,15280,70
93314,2014,11130,7650,25870,9530,9550,110,1950,690,1220,6470,4070,350,890,7690,510
93401,2014,13870,6830,23280,5810,10940,90,3740,610,2140,4760,4160,190,740,8880,390
93402,2014,6770,3700,12470,3140,4910,40,1740,370,1460,2690,2140,140,130,4340,40
93405,2014,7820,3690,12530,3110,6090,40,1990,270,1350,2470,2310,100,350,5220,150
93420,2014,13430,7580,25790,7050,9790,150,3850,760,3110,5950,4190,270,690,8340,350
93422,2014,13930,7500,27100,7720,11120,120,2800,870,2340,5660,4350,310,360,9560,160
93426,2014,450,280,920,250,320,30,90,30,90,180,110,0,0,290,0
93427,2014,2850,1680,5790,1880,2310,0,500,160,390,1060,850,20,70,1890,50
93428,2014,3310,2170,5910,1230,1920,50,1120,140,1120,1470,900,30,120,1770,40
93430,2014,1510,960,2560,480,960,40,540,80,420,580,410,0,70,840,30
93432,2014,640,410,1260,370,460,60,130,50,140,280,180,0,20,420,0
93433,2014,5900,2930,11250,3630,4880,0,810,460,680,1680,1770,30,70,4270,40
93434,2014,3030,2120,7840,3940,2850,0,90,430,180,420,1170,0,0,2630,0
93436,2014,21930,11990,47020,17480,18520,70,2300,1860,2950,6210,6880,220,230,16970,90
93437,2014,1290,290,3510,1380,1280,0,110,40,0,60,770,0,0,1230,0
93442,2014,5150,2860,9040,2130,3540,40,1360,260,1250,1720,1420,60,120,3180,50
93444,2014,9640,5790,19850,6390,7430,110,2010,780,1870,3980,3030,140,290,6620,150
93445,2014,2820,1530,5920,2280,2410,0,260,210,270,610,850,0,0,2190,0
93446,2014,19290,11460,41170,14550,15470,320,3360,1320,3090,7200,6040,340,480,13710,210
93449,2014,4060,2390,6760,1260,2720,0,1440,190,1060,1840,1090,60,250,2290,140
93450,2014,240,220,680,350,200,0,30,30,30,50,80,0,0,180,0
93451,2014,1790,1230,4530,2040,1540,100,220,140,180,550,630,0,30,1410,0
93452,2014,230,160,430,160,170,0,30,0,40,30,50,0,0,160,0
93453,2014,1360,790,2600,700,1070,60,260,130,220,470,400,0,20,900,0
93454,2014,16070,10820,38450,17340,13840,100,1340,1710,1750,4000,5590,130,140,12710,60
93455,2014,19330,11150,39600,12900,15560,60,3570,1430,3420,8170,6480,280,500,13450,240
93458,2014,24160,18480,70960,39920,22730,60,590,3130,1020,3050,9760,60,40,21180,0
93460,2014,2840,1910,5410,1480,2040,70,830,130,610,1280,780,40,210,1560,80
93461,2014,630,470,1740,860,550,30,50,70,60,140,260,0,0,510,0
93463,2014,3540,2210,6610,1810,2520,40,1130,170,840,1630,1070,50,270,2060,130
93465,2014,4680,2940,9630,3110,3670,190,1140,280,780,2000,1550,110,260,3040,120
93501,2014,1640,1000,3640,1520,1310,0,90,130,140,290,420,40,0,1410,0
93505,2014,3980,2060,8870,3520,3110,0,250,290,440,910,1050,80,20,3240,0
93510,2014,3520,2480,6840,1880,2760,30,680,320,590,1960,860,70,190,2340,90
93512,2014,100,60,180,50,80,0,0,0,0,0,0,0,0,80,0
93513,2014,780,390,1490,420,600,0,80,70,160,210,180,0,0,580,0
93514,2014,5840,3310,11230,3340,4490,50,1090,450,1080,1780,1660,100,100,4120,30
93516,2014,580,310,1270,500,440,0,40,40,100,90,130,0,0,450,0
93517,2014,350,160,600,150,280,0,50,40,70,90,80,0,0,260,0
93518,2014,430,260,830,190,250,30,60,30,140,150,80,0,0,260,0
93523,2014,1150,410,3360,1420,1050,0,170,50,100,200,660,0,0,1020,0
93526,2014,310,160,540,110,210,0,30,0,70,90,60,0,0,210,0
93527,2014,860,480,1720,460,600,20,140,40,200,290,210,0,0,630,0
93531,2014,250,170,480,110,180,0,60,0,80,140,60,0,0,160,0
93532,2014,1140,720,2190,610,930,0,130,100,160,530,310,0,0,840,0
93534,2014,15270,9860,32550,13740,12520,0,800,1220,1210,3420,4270,170,130,12840,40
93535,2014,27430,18240,65070,30380,22750,0,1040,2420,1790,6770,8200,510,130,23580,30
93536,2014,27240,17370,59410,22320,22700,40,3110,2120,3100,12330,8920,540,710,20900,300
93543,2014,4930,3680,11500,4860,3880,0,260,450,470,1330,1350,60,20,3920,0
93544,2014,390,250,750,200,250,0,80,30,110,150,70,0,0,250,0
93545,2014,860,450,1770,610,720,0,100,60,150,200,240,0,0,660,0
93546,2014,4390,2220,8630,3020,3850,0,780,640,330,1170,1270,30,130,3100,50
93550,2014,28800,20640,68600,32120,24130,0,880,2380,1410,6610,8820,270,120,24700,30
93551,2014,21860,14490,48290,18010,18270,60,2820,1640,2670,10690,7120,430,810,16280,380
93552,2014,15380,11030,37790,17700,13230,0,540,1420,770,5190,5370,190,100,13030,20
93553,2014,760,520,1530,470,590,0,90,50,130,270,150,0,0,550,0
93555,2014,13290,6530,27710,9320,10810,40,1900,640,1870,4420,4310,330,150,10450,70
93560,2014,7720,4620,17170,6680,6590,20,580,680,700,2560,2520,250,80,6410,20
93561,2014,11640,6910,25180,8350,8820,80,1730,790,2210,4810,3380,270,240,8320,100
93562,2014,510,250,1110,410,420,0,40,40,60,90,130,0,0,400,0
93591,2014,2280,1570,5470,2470,1850,0,70,180,170,500,620,30,0,1900,0
93601,2014,810,460,1620,400,550,0,180,80,230,270,210,20,0,540,0
93602,2014,1400,800,2900,900,1030,20,230,170,310,490,380,0,20,970,0
93604,2014,360,250,590,90,200,0,110,30,140,170,80,0,0,180,0
93608,2014,470,410,1510,880,440,0,0,140,0,0,190,0,0,410,0
93609,2014,2220,1490,5830,2820,1980,100,120,360,160,350,740,20,20,1790,20
93610,2014,6050,4010,15460,7040,5260,170,440,720,560,1320,2090,60,80,4780,50
93611,2014,19670,10720,42770,15280,16300,70,3180,1540,2970,8700,6900,540,570,13980,330
93612,2014,14440,6750,29090,11030,12360,20,930,1460,1410,2620,4450,160,110,11640,40
93614,2014,4820,2560,9940,2720,3330,50,900,600,1280,1910,1280,110,90,3160,40
93615,2014,2160,1600,5890,3160,2040,30,20,680,60,110,590,0,0,1900,0
93616,2014,1020,700,2540,1230,930,40,30,270,60,100,290,0,0,860,0
93618,2014,11350,7680,29170,14360,10440,160,430,2520,620,1790,3880,120,60,9570,20
93619,2014,14750,9220,34140,12420,12230,220,3590,970,2200,8820,5570,460,1190,9590,760
93620,2014,3460,2210,8600,3940,3060,120,190,930,300,600,1110,0,40,2750,20
93621,2014,170,90,380,120,130,0,20,0,40,40,40,0,0,120,0
93622,2014,4030,2950,10410,5040,3790,50,140,1720,190,450,1490,0,40,3320,40
93625,2014,3190,1960,7380,3130,2770,110,300,470,290,850,1150,30,50,2470,0
93626,2014,760,510,1540,460,560,20,160,40,140,400,200,0,50,460,50
93628,2014,110,30,270,110,110,0,0,0,0,0,50,0,0,90,0
93630,2014,7470,5310,19710,9610,6720,310,360,1440,500,1390,2810,50,70,6020,60
93631,2014,6820,4410,15570,6110,5800,300,900,860,860,2260,2410,120,200,5000,120
93635,2014,15990,10660,41910,19980,13920,140,980,2870,1380,3810,5710,140,150,13020,70
93636,2014,5110,3050,11090,3670,4060,120,780,410,950,2180,1650,140,130,3490,70
93637,2014,14940,10300,36810,16930,12950,270,1100,1880,1390,3630,5200,170,180,11770,100
93638,2014,18320,14340,53310,29500,16930,60,420,2880,810,2620,5760,130,60,16280,0
93640,2014,5530,4120,16040,9190,5320,0,20,2700,110,270,1940,0,0,4680,0
93641,2014,140,90,280,60,110,0,20,30,30,30,20,0,0,100,0
93643,2014,1280,660,2490,670,880,0,220,150,330,390,270,30,0,850,0
93644,2014,3910,2070,7520,2040,2690,0,790,430,960,1190,900,50,80,2580,30
93645,2014,130,80,280,70,90,0,30,0,40,60,40,0,0,80,0
93646,2014,3470,2570,9510,5010,3270,50,50,1210,110,200,1100,0,0,3040,0
93647,2014,4160,3320,11220,5810,3930,70,70,1280,140,320,1220,20,0,3640,0
93648,2014,6020,4480,16390,8860,5770,40,90,1680,160,450,1960,0,0,5360,0
93650,2014,1660,820,3680,1620,1350,0,100,160,160,190,440,0,0,1320,0
93651,2014,830,500,1670,450,640,20,160,70,170,350,200,0,20,540,0
93652,2014,290,200,820,440,260,0,0,70,0,0,90,0,0,240,0
93653,2014,410,240,790,210,290,50,60,40,100,110,110,0,0,290,0
93654,2014,12300,7950,31200,14650,10950,260,910,3020,1050,2430,4020,150,120,9870,60
93656,2014,2310,1620,6220,2990,2060,80,150,420,180,320,840,0,0,1870,0
93657,2014,14220,8760,33750,15020,12410,370,1110,2170,1420,3330,4840,180,170,11350,80
93660,2014,1580,1310,4850,2660,1500,0,0,580,50,90,590,0,0,1450,0
93662,2014,12370,8160,30780,14690,11060,260,660,2110,950,2220,4140,90,80,10260,30
93664,2014,350,250,610,90,230,0,100,30,130,190,70,0,20,210,0
93667,2014,950,510,2090,690,740,30,120,100,200,320,260,0,0,680,0
93668,2014,450,340,1170,570,390,0,40,120,50,70,160,0,0,340,0
93669,2014,120,70,260,60,80,0,0,0,30,40,30,0,0,80,0
93675,2014,1280,700,2800,900,950,40,150,140,290,390,340,30,0,910,0
93701,2014,3290,2020,8700,4830,2910,0,30,350,50,130,750,0,0,2980,0
93702,2014,15410,9370,40740,21930,13880,30,190,2160,450,850,4270,60,0,13970,0
93703,2014,11760,6450,27980,13750,10220,20,320,1340,610,1160,3220,40,0,10260,0
93704,2014,11950,6460,23210,8090,9540,50,1910,1010,1660,3460,3430,170,280,8630,160
93705,2014,13860,7260,31090,14130,11710,0,740,1500,1180,1980,3900,110,30,11650,0
93706,2014,13100,7790,33830,17620,11500,310,470,1790,780,1270,3460,60,90,11310,50
93710,2014,12090,6090,22840,7800,9860,20,1450,980,1730,2980,3570,190,110,9410,30
93711,2014,17900,10840,33140,8950,13650,190,4850,1050,3900,7700,5830,400,1190,11180,720
93720,2014,21020,12060,42590,14140,17190,70,4250,1320,3010,9160,7040,440,1020,14210,670
93721,2014,1400,740,2830,1200,1220,0,60,100,60,150,320,0,0,1120,0
93722,2014,32640,17380,74950,32350,28430,120,2020,3370,2330,8700,11190,390,310,26060,130
93723,2014,3940,2540,9170,3640,3230,180,500,360,430,1600,1350,60,80,2790,50
93725,2014,9620,5830,24320,11950,8610,250,370,1530,560,1280,3090,50,40,8150,30
93726,2014,15840,7770,33490,14330,13640,30,760,1530,1250,2330,4540,120,30,13410,0
93727,2014,27920,14730,65610,29560,24450,140,1690,3000,2160,7060,9710,340,240,22970,80
93728,2014,6220,3050,12910,5350,5450,0,290,720,410,840,1580,30,20,5260,0
93730,2014,4900,3320,10910,3830,3960,50,1620,260,790,2990,1850,150,700,2880,550
93901,2014,12210,7830,25610,10070,10240,20,1590,1280,1500,3530,4040,150,290,8880,140
93905,2014,28290,23320,87000,51610,27050,20,380,5890,750,3660,11690,210,70,24960,0
93906,2014,25720,18230,62830,29540,23290,30,1290,3790,1880,6520,9660,360,210,20970,90
93907,2014,9730,6190,20960,7770,8160,50,1240,1100,1360,3590,3090,160,210,7100,100
93908,2014,6110,4140,12550,3910,4670,60,2170,370,1290,3340,2110,130,810,3420,510
93920,2014,700,440,1410,540,600,0,110,30,60,80,220,0,0,490,0
93923,2014,5000,3480,8850,1820,2680,20,2730,160,1970,3050,1790,70,790,2090,330
93924,2014,3080,2080,5690,1410,2120,30,1180,140,690,1550,990,50,320,1550,180
93925,2014,790,660,2240,1170,740,0,40,200,50,140,330,0,0,660,0
93926,2014,4240,3430,11870,6280,3980,0,160,1060,230,960,1860,90,30,3500,0
93927,2014,7850,6370,24340,14030,7520,30,190,1570,310,1220,3160,110,30,6810,0
93930,2014,7070,5890,21240,12080,6530,70,340,1210,470,1190,2730,100,60,5890,40
93933,2014,10560,5760,20560,7120,9140,0,980,710,1120,2490,3350,120,80,8150,30
93940,2014,14320,7840,25020,6080,11090,20,3970,570,2550,5090,4440,140,740,9060,400
93950,2014,7750,4400,13730,3370,5470,0,2410,350,1790,3030,2430,90,360,4580,190
93953,2014,2100,1440,3730,670,1190,0,1150,60,870,1350,770,30,430,900,150
93955,2014,14730,9180,33410,14070,12750,0,1170,750,1260,3090,4870,130,140,11540,90
93960,2014,7280,5730,20220,10610,6850,30,230,1670,360,1700,3020,150,80,5970,30
94002,2014,13420,6990,26240,7500,10860,0,5540,790,2050,7130,4610,230,2540,7570,1970
94005,2014,2710,1610,5190,1420,2250,0,760,150,300,1400,940,40,360,1650,200
94010,2014,20640,13390,40610,12360,15610,40,9880,930,3320,11340,7650,260,4490,10170,3670
94014,2014,24260,14770,44840,14070,21000,0,2480,1590,2320,6500,6790,110,390,18500,220
94015,2014,32020,17830,58630,17030,27190,0,5000,2000,4000,10070,9260,150,860,23470,420
94019,2014,7830,5020,15880,5110,6280,50,2430,380,1260,3550,2550,90,990,4850,740
94020,2014,760,410,1320,270,590,0,250,40,140,400,220,0,90,430,60
94021,2014,110,50,170,30,90,0,0,0,0,40,30,0,0,60,0
94022,2014,9540,5980,19300,5740,6500,30,6540,300,2230,6520,4370,190,3080,3800,2480
94024,2014,10920,6390,23380,7500,7850,30,7430,440,2330,7380,4850,260,3540,4480,3070
94025,2014,19530,11360,39090,12580,15360,30,9530,780,2800,11070,7810,270,4420,10270,3900
94027,2014,3150,2330,6020,1680,1990,20,2270,60,760,2220,1580,40,1110,1220,800
94028,2014,3450,2450,6650,1820,2160,0,2470,60,990,2410,1670,60,1140,1250,850
94030,2014,11520,6730,21990,6310,8820,0,4170,660,2060,5250,3720,100,1310,6770,800
94038,2014,1470,890,2940,920,1210,0,420,90,240,620,460,0,150,920,110
94040,2014,16210,7830,32430,10490,13660,0,6670,680,1650,7940,5650,170,2930,9590,2510
94041,2014,7710,3660,13760,3620,6670,0,3070,380,610,3800,2440,50,1350,4630,1260
94043,2014,15270,6920,27830,7660,13400,0,5670,830,1250,7740,5050,150,2460,9540,2190
94044,2014,20070,10940,36670,9850,16580,20,4730,1430,3000,9320,5820,260,1440,13650,940
94060,2014,760,470,1690,740,640,20,140,20,90,170,220,0,40,540,0
94061,2014,17890,10710,35320,11690,14690,0,5040,1020,2230,7170,5820,220,1870,11460,1420
94062,2014,13320,8330,25220,6900,10010,70,6500,600,2390,7690,4830,240,2890,6680,2350
94063,2014,14800,10040,32650,13820,12720,0,1550,740,830,3450,4560,60,500,11100,380
94065,2014,5900,3120,11940,3510,4910,0,3040,400,750,3970,2190,80,1500,3080,1290
94066,2014,23050,13310,43530,13340,19370,0,4470,1540,2810,8700,6720,200,1120,16160,720
94070,2014,15480,9130,30770,9020,12180,30,7380,860,2560,9360,5660,280,3650,8050,2950
94074,2014,120,70,200,50,80,0,0,0,20,30,20,0,0,60,0
94080,2014,33890,19730,66480,22100,28900,0,5730,2230,4020,12030,10080,230,1340,24910,900
94085,2014,11490,6210,23080,7810,10530,0,2920,580,530,4610,3460,70,1060,8280,880
94086,2014,23320,11680,46660,14060,20760,0,7510,1260,1760,9700,7640,190,2770,15550,2300
94087,2014,25510,12520,56160,18730,20820,0,12120,1390,3400,13350,9920,450,5420,14300,4380
94089,2014,11060,5880,20560,5770,9630,0,2720,740,1150,4320,3200,50,820,7750,660
94102,2014,14550,6850,22310,5500,12820,0,2540,810,650,3820,3080,0,790,10310,690
94103,2014,14750,6730,21550,4570,13260,0,3360,810,510,5270,3450,40,1330,10250,1160
94104,2014,1340,860,2070,420,970,0,590,40,150,760,410,0,260,680,210
94105,2014,5320,2730,7530,890,4710,0,2490,250,260,3730,1650,0,1380,3030,1340
94107,2014,16270,7930,23810,3800,14240,0,6330,900,890,9420,4520,80,3080,9670,2800
94108,2014,7070,3560,10360,1700,6030,0,1640,510,490,2030,1390,0,430,4760,330
94109,2014,33670,15330,45720,6500,28490,30,10520,1670,3050,13650,7650,50,3410,21480,2760
94110,2014,39580,20040,64430,16600,34200,20,9640,2410,2170,14030,10560,250,3680,26000,3180
94111,2014,2780,1710,4140,620,1940,20,1320,100,530,1610,900,0,610,1350,470
94112,2014,43270,25870,79450,23960,36790,0,5750,3090,3760,11050,11680,280,1010,31780,670
94114,2014,20570,10290,29060,3970,16760,20,8750,1090,1960,11410,5970,190,3680,11270,3360
94115,2014,19500,9590,27900,4800,16320,40,6840,1030,1720,8960,5290,70,2550,12030,2200
94116,2014,23560,12450,40940,9820,18830,20,7310,1450,3190,8730,6830,180,1840,14650,1270
94117,2014,23380,9730,32110,4490,20260,20,7730,1250,1390,10160,6020,120,2830,14290,2450
94118,2014,21410,10680,33420,6780,17190,40,7400,1130,2360,8210,5930,120,2460,12610,1930
94121,2014,22850,11600,37510,8400,18190,0,6800,1400,2910,7300,6090,110,1710,13960,1220
94122,2014,32100,14990,51540,10620,26410,0,9020,1920,3560,10510,8650,200,2150,20450,1490
94123,2014,15640,8280,21220,2580,12850,40,7330,740,1610,9450,4340,50,3020,8580,2620
94124,2014,17670,10540,34240,12660,15250,0,1370,1480,1090,3780,4830,100,200,13750,130
94127,2014,10370,6090,19020,4790,7740,30,4780,530,2040,5960,3600,170,2090,5290,1580
94129,2014,1890,830,3080,790,1680,0,630,90,90,760,550,0,260,1140,220
94130,2014,1080,420,1750,570,990,0,40,70,20,100,260,0,0,860,0
94131,2014,16010,8480,25680,5100,12690,30,6440,980,2320,8730,5000,170,2570,9010,2200
