City,ZipCode,Population,$ IncomePerHousehold,Transport_tCO2e_yr,Food_tCO2e_yr,Total_tCO2e_yr
CANOGA PARK,91304,49226,48052,15.66672884,8.79,44.61521244
WINNETKA,91306,43846,49064,16.50936467,9.57,46.80306022
WEST HILLS,91307,23622,74072,22.41314807,8.64,57.26400642
CHATSWORTH,91311,35317,62270,19.1389656,7.83,49.88262066
ENCINO,91316,27595,49131,14.20112218,6.48,40.07010372
NEWBURY PARK,91320,37775,77865,22.00918815,8.67,57.51199299
NEWHALL,91321,30727,49979,16.38387225,8.82,46.01508026
NORTHRIDGE,91324,25731,49961,15.44961778,8.67,45.47929208
NORTHRIDGE,91325,32300,48855,15.96796965,7.92,44.42131893
PORTER RANCH,91326,28049,82310,22.56294355,8.64,59.42981001
PACOIMA,91331,97300,39225,15.64332104,13.62,48.92038411
RESEDA,91335,68002,40792,14.36565958,9.15,42.67651816
SAN FERNANDO,91340,33373,40398,15.2641827,12.72,47.6890546
SYLMAR,91342,81970,48744,18.15818044,11.1,50.64699546
NORTH HILLS,91343,57001,41786,14.89963993,10.35,44.9798112
GRANADA HILLS,91344,48863,64947,20.33805008,8.88,53.7486703
MISSION HILLS,91345,17102,52603,18.60965519,9.99,50.56113221
SANTA CLARITA,91350,40069,74616,24.52812799,9.24,60.09204597
CANYON COUNTRY,91351,59257,61349,19.86257383,8.97,52.25650464
SUN VALLEY,91352,46624,41322,16.36879265,11.7,48.02538899
VALENCIA,91354,17841,84858,24.60436961,9.3,62.43937684
VALENCIA,91355,24970,76024,19.31385168,7.59,52.3667975
TARZANA,91356,27407,51420,15.03044565,7.32,43.15779732
THOUSAND OAKS,91360,42513,72033,20.76339039,8.46,54.23895628
WESTLAKE VILLAGE,91361,18724,86646,21.73339729,7.41,56.14587777
THOUSAND OAKS,91362,33039,83750,21.00279677,8.13,55.97963687
WOODLAND HILLS,91364,25985,79414,18.48730009,7.38,51.93752768
WOODLAND HILLS,91367,36106,61356,15.17092674,6.9,44.00274179
OAK PARK,91377,14809,89561,22.88261117,8.46,59.43382148
STEVENSON RANCH,91381,9919,87112,23.90827936,8.64,60.61630475
CASTAIC,91384,22173,73933,24.04135075,9.63,59.50750255
VAN NUYS,91401,40372,35403,12.63374734,8.28,38.1464255
PANORAMA CITY,91402,66241,32496,11.88496536,11.28,40.08013326
SHERMAN OAKS,91403,22079,53596,11.06306789,5.94,36.98859684
VAN NUYS,91405,51344,29657,11.40356927,9.27,36.495742
VAN NUYS,91406,50041,37178,13.1218474,8.73,39.56745304
VAN NUYS,91411,23641,34266,12.13023689,8.01,36.69152812
SHERMAN OAKS,91423,29370,52662,12.84047343,5.91,38.64488831
ENCINO,91436,13109,102652,15.17467484,7.65,53.90982559
BURBANK,91501,18096,43750,14.4464358,7.26,39.55675908
BURBANK,91502,11500,29185,10.37683656,7.17,32.19353959
BURBANK,91504,25872,55813,16.84155147,8.01,45.8315625
BURBANK,91505,29235,51740,13.4055641,6.63,39.55034824
BURBANK,91506,18530,50849,14.87281139,7.02,41.63617013
NORTH HOLLYWOOD,91601,36616,31671,10.79873313,7.47,34.17010076
NORTH HOLLYWOOD,91602,16978,47989,13.13564917,5.46,37.01579871
STUDIO CITY,91604,26137,60299,12.81545958,5.67,39.59807748
NORTH HOLLYWOOD,91605,57129,32168,12.76200829,11.07,41.02402906
NORTH HOLLYWOOD,91606,45348,31806,12.08265262,9.18,37.98809937
VALLEY VILLAGE,91607,27439,40565,12.63528211,6.33,36.50310591
RANCHO CUCAMONGA,91701,39055,66668,21.85807292,9.27,55.70868044
AZUSA,91702,57765,42108,15.60097679,10.89,45.78548764
BALDWIN PARK,91706,76889,41621,17.18140533,13.29,49.80801826
CHINO HILLS,91709,66734,78336,24.10312513,9.96,61.062583
CHINO,91710,75314,55185,19.44593202,10.32,52.39642904
CLAREMONT,91711,34715,66663,17.43590218,7.74,49.28797519
COVINA,91722,33803,50126,17.60478387,9.87,48.56885626
COVINA,91723,17552,42100,14.65271179,8.28,41.62071387
COVINA,91724,25062,59158,19.84789009,8.94,51.42719635
RANCHO CUCAMONGA,91730,51969,50047,16.08907478,8.73,45.38804338
EL MONTE,91731,30206,30942,12.99810682,11.88,41.62516573
EL MONTE,91732,62659,34141,13.85453482,12.81,44.39416925
SOUTH EL MONTE,91733,45640,32644,13.33328963,13.8,44.52642353
RANCHO CUCAMONGA,91737,23075,73201,23.65411182,9.27,59.32451209
RANCHO CUCAMONGA,91739,12925,70461,23.43866054,9.81,58.54633938
GLENDORA,91740,25117,52696,17.9715749,8.79,48.13038865
GLENDORA,91741,24967,67419,21.6387681,8.49,54.92059924
LA PUENTE,91744,84950,46792,17.89608122,13.77,52.68668961
HACIENDA HEIGHTS,91745,53682,59642,20.07767337,9.96,53.00800684
LA PUENTE,91746,30795,44189,18.75186573,13.56,53.09612285
ROWLAND HEIGHTS,91748,46324,51640,17.55523793,10.32,49.13570683
LA VERNE,91750,35512,60366,20.02656576,8.22,51.09081708
MIRA LOMA,91752,18971,37110,17.033753,9.78,45.9400693
MONTEREY PARK,91754,33263,40267,13.68043787,8.85,40.67469741
MONTEREY PARK,91755,26925,41295,14.93738885,9.6,42.68980441
MT BALDY,91759,35,26500,14.73688255,6.57,36.97450859
ONTARIO,91761,56271,49430,18.52830815,11.22,51.25097667
ONTARIO,91762,54243,39972,14.95517667,10.23,44.17826525
MONTCLAIR,91763,34437,40230,15.7855744,11.07,46.59889879
ONTARIO,91764,49461,39098,14.7221521,11.01,44.85085922
DIAMOND BAR,91765,46520,69848,21.57334239,9.51,55.91936337
POMONA,91766,69968,41876,16.288591,12.3,48.13539943
POMONA,91767,46614,40057,14.22186329,10.53,43.77033099
POMONA,91768,36047,35733,14.88836389,11.43,44.71515172
ROSEMEAD,91770,61605,37896,14.41963294,11.31,43.83457782
SAN DIMAS,91773,33865,63526,19.61155565,8.43,51.23891807
SAN GABRIEL,91775,23426,56657,17.64241698,8.37,47.50623568
SAN GABRIEL,91776,38032,38085,13.35220375,9.66,40.57131061
TEMPLE CITY,91780,32714,47575,16.44477727,8.7,45.01366329
UPLAND,91784,23312,81460,24.7154036,8.73,61.43793529
UPLAND,91786,48807,37431,13.81177737,8.1,40.06585459
WALNUT,91789,45106,73943,23.98259671,10.38,60.4638315
WEST COVINA,91790,44085,50825,18.13647852,10.17,49.61716343
WEST COVINA,91791,30442,56216,18.80135686,9.3,50.37103406
WEST COVINA,91792,31620,54074,18.84052015,10.53,50.69370553
ALHAMBRA,91801,54381,38229,12.79050473,8.31,38.09432175
ALHAMBRA,91803,30629,41303,14.50520422,9.3,41.8981422
ALPINE,91901,16468,62452,22.96444253,8.25,53.42342362
BONITA,91902,17379,70955,24.38738334,8.97,58.48256927
BOULEVARD,91905,1496,37727,16.91678057,7.77,41.6102065
CAMPO,91906,3122,39359,18.17410314,8.28,44.23550797
CHULA VISTA,91910,74009,42970,13.95621323,8.25,40.5794139
CHULA VISTA,91911,71124,38010,14.46577071,9.54,41.96969754
CHULA VISTA,91913,12880,66968,20.3158028,9.51,53.53249714
CHULA VISTA,91914,2601,68771,21.48634588,9.36,54.78491514
CHULA VISTA,91915,9270,76346,23.41240376,10.17,59.54251879
DESCANSO,91916,1575,46976,23.11198958,7.59,49.68975976
DULZURA,91917,708,32917,22.45074336,8.22,46.7453695
GUATAY,91931,782,29375,13.74742773,7.68,37.24286812
IMPERIAL BEACH,91932,26655,36025,13.59112925,8.52,38.97416865
JACUMBA,91934,695,25568,14.14747346,7.56,36.64557775
