ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
91764,2010,730262,612407,5351,28001,8077,9019,27239,342910,8400,297,41272,310,53738,0
91765,2010,1632902,1150759,31920,23292,26939,51939,144998,1048649,10312,1098,205606,7764,59728,0
91766,2010,936109,787919,2527,32636,10079,18910,46842,440018,10041,468,56560,1061,68786,0
91767,2010,687123,557894,2684,22835,12167,12803,33535,332974,7321,340,42079,605,47255,0
91768,2010,435751,342645,5754,14157,4890,7837,21878,209257,4380,184,31049,361,35591,0
91770,2010,1061481,750053,3268,26267,12889,19009,55273,599109,9178,384,103444,967,60668,0
91773,2010,1058428,783583,7583,17917,24164,28661,83746,665463,6605,838,118143,3561,39646,0
91775,2010,713469,521265,13205,9718,14682,21960,56898,452571,4473,465,81097,3651,26302,0
91776,2010,630854,499543,4478,15259,7870,13499,31919,341043,4895,230,50335,1165,34532,0
91780,2010,829085,636172,10431,16249,15687,23854,57527,496497,6255,531,77219,1643,35768,0
91784,2010,1085392,717248,14573,11699,31667,29487,92842,709613,6322,916,138152,6121,34348,0
91786,2010,971703,761786,2994,26761,21469,15683,49347,554413,8545,600,79943,1497,49576,0
91789,2010,1386154,1006366,57180,20595,23523,46835,121640,876688,10212,1057,158378,8066,49677,0
91790,2010,867328,714549,2032,23758,15474,19095,49376,480146,8653,483,64907,670,44420,0
91791,2010,876342,625516,13142,14649,19471,24348,67809,531790,7088,465,93488,3743,38693,0
91792,2010,612499,514545,1593,16189,10136,13384,34598,344483,5936,352,46927,580,29483,0
91801,2010,1054172,830987,12755,23224,15873,18336,55138,635085,7935,383,100800,1928,49655,0
91803,2010,582988,469055,2261,13987,9881,11700,31205,337301,4794,305,49354,820,29262,0
91901,2010,526905,347213,8744,6890,12113,14485,42693,337665,3843,579,62643,2435,18815,0
91902,2010,615917,369819,15776,7502,18771,16048,46717,399551,3920,528,73350,2402,19594,0
91905,2010,26259,19022,142,946,662,481,1283,15154,199,0,2120,0,1110,0
91906,2010,61149,47091,34,1885,1483,1254,3227,33980,538,41,4601,0,2960,0
91910,2010,1611709,1214976,13313,35582,32662,31165,84661,936504,15961,618,138695,2722,78115,0
91911,2010,1416028,1129962,6690,46998,24019,21866,55617,737074,15400,520,93585,927,84897,0
91913,2010,1071095,910835,4197,16522,9886,41225,85576,622309,11822,303,90836,2100,45317,0
91914,2010,554129,425683,6145,5450,3702,20273,49239,346263,6545,149,58342,3006,20334,0
91915,2010,705799,607296,4398,9890,4706,28955,60269,412232,8444,202,61174,1509,29252,0
91916,2010,55888,35766,177,959,1661,1251,4116,35417,269,48,6664,0,1961,0
91917,2010,15219,11296,374,662,355,242,685,7597,137,0,1001,0,1024,0
91932,2010,430955,341905,1338,14321,7145,5287,14116,236452,4146,172,31269,286,25887,0
91934,2010,8584,6411,0,323,216,87,253,4385,56,0,559,0,625,0
91935,2010,336891,204902,10847,4569,8082,9521,28487,219298,2022,307,43320,1878,11919,0
91941,2010,1010425,659388,29653,14643,29810,23969,71743,654179,5720,761,117472,4321,34416,0
91942,2010,904339,685925,5092,20349,21415,14528,44724,569324,6415,527,84938,863,34634,0
91945,2010,464306,369911,929,13513,9176,8395,21088,258572,4335,224,33776,158,23818,0
91950,2010,741939,613006,4427,28411,10222,8149,20384,348191,7934,195,40612,184,54641,0
91962,2010,57242,39675,224,875,1693,1277,3609,35193,343,29,5416,0,1843,0
91963,2010,17096,12323,90,1011,280,168,482,7629,140,0,958,0,1547,0
91977,2010,1102758,859764,3494,29752,24970,21153,54884,610220,10439,660,82743,906,59398,0
91978,2010,208488,160805,1033,4890,4656,4502,12047,123502,1712,153,18144,281,8629,0
91980,2010,23523,17687,33,1971,200,70,195,7677,267,0,701,0,2334,0
92003,2010,179246,100841,9162,2839,5820,6154,15188,111329,981,180,21251,1342,6216,0
92004,2010,61672,29360,3060,2006,3877,1445,3277,35292,365,54,5294,189,2939,0
92007,2010,573775,367660,41376,5556,8355,13347,47299,415137,2252,284,90068,3883,15574,0
92008,2010,995461,647171,39566,13814,23038,21888,73594,661640,6306,477,127828,6192,35469,0
92009,2010,2095139,1452972,86703,19805,40679,65016,197660,1439077,10760,1086,312988,20921,56483,0
92010,2010,495599,378397,6538,7697,11155,13931,38695,320267,2725,267,55833,1946,15031,0
92011,2010,1084381,708010,64160,10608,25404,31327,97438,753101,4162,340,161310,9406,29734,0
92014,2010,1374584,670118,238816,5516,25128,31939,130228,1033397,11684,545,244986,17444,33934,0
92019,2010,1231675,810681,17619,20499,29917,29562,87351,775358,7741,987,138772,3843,46413,0
92020,2010,1117501,790571,25444,26881,28659,20826,63694,660800,7858,736,105968,3770,54302,0
92021,2010,1245759,949986,9415,36269,26677,27343,65755,713109,10104,1004,105166,2187,61585,0
92024,2010,2477506,1616806,130166,22200,38309,65208,221092,1741595,10880,1266,392862,21020,68529,0
92025,2010,957102,712079,12346,19175,20186,19461,61958,561968,6420,677,102677,3894,43147,0
92026,2010,1170914,841862,24780,24805,31746,28167,75142,704443,8138,858,113398,2607,44556,0
92027,2010,1041233,826622,13143,25028,18839,22351,58985,578598,9222,729,83372,1776,49530,0
92028,2010,1180168,720126,31065,20426,43944,31610,85259,714389,6996,1249,127014,5243,47736,0
92029,2010,705356,458441,37178,9760,19791,18694,56881,464425,3868,669,90652,4027,23218,0
92036,2010,81492,48177,356,1780,3240,2099,5357,49451,398,55,8152,259,3012,0
92037,2010,3353974,1402442,540853,10775,73562,83166,333766,2467626,22760,1069,585856,45586,105329,0
92040,2010,998413,727806,8010,24333,22383,20348,56811,609710,7420,762,92991,1685,41767,0
92054,2010,792961,586541,8162,19354,17427,13806,40432,469201,4852,351,73456,1729,33852,0
92056,2010,1315334,949507,12910,26819,43813,28317,79039,796274,9064,792,122015,2115,48650,0
92057,2010,1256692,980259,7388,27666,28844,28407,74940,726173,9867,640,108076,1879,52841,0
92058,2010,590724,512623,1825,14122,6931,6947,19607,299607,6627,185,37373,283,44130,0
92059,2010,80031,14291,796,421,852,524,1648,63613,145,0,14105,358,1824,0
92061,2010,103731,41363,4195,1220,3785,1622,7290,67488,740,53,14539,565,4999,0
92064,2010,2050869,1422944,69778,20739,36878,52862,177821,1386576,12108,3065,295964,17585,57780,0
92065,2010,1020068,755508,18469,18905,22340,27480,75812,631171,7088,1328,106626,3175,36262,0
92066,2010,7252,4301,0,224,194,117,505,4603,22,0,891,0,410,0
92069,2010,943767,757402,12127,21005,16223,23618,60058,535985,7756,456,81404,1978,41374,0
92070,2010,22740,13808,423,792,840,430,1025,13084,131,0,1948,0,974,0
92071,2010,1372288,1099201,4953,30427,26260,26784,79220,853002,10733,927,127906,1438,49296,0
92075,2010,787424,468252,64910,5660,17800,19836,72616,559728,3923,488,130322,8105,24300,0
92078,2010,1258056,919679,20940,20994,31032,40799,101679,788076,7415,606,140680,6353,41182,0
92081,2010,731257,552693,8261,13462,16055,17381,48874,459196,4818,442,74828,1723,25388,0
92082,2010,538037,356984,12205,8845,14908,16191,40813,328860,3133,467,57462,2010,20126,0
92083,2010,535405,441805,2397,17541,7434,8755,22435,269245,4872,189,34571,195,31687,0
92084,2010,940099,668802,15189,21116,24662,22105,57325,533164,6666,683,84698,2484,42928,0
92086,2010,26137,12750,620,532,1554,475,1242,15706,118,0,2702,0,935,0
92091,2010,159082,71885,31123,259,2613,4595,17979,121180,416,0,32552,1965,5718,0
92101,2010,1396608,1014759,72374,14873,15532,26047,103764,1010798,4922,95,214277,7781,45756,0
92102,2010,589553,501093,1109,18648,4670,5441,17537,302186,4988,160,41796,460,38990,0
92103,2010,1441733,932151,51868,16839,25704,25006,100233,1012778,4940,482,209038,9152,41759,0
92104,2010,1041585,876294,11125,23703,9556,13808,49398,666873,5462,448,107639,1548,43019,0
92105,2010,750311,625460,4099,27129,7536,7047,20005,334708,7499,223,39731,201,63299,0
92106,2010,885389,497047,57167,6980,24200,23458,79803,611386,3645,502,130368,8215,28307,0
92107,2010,957401,650453,38442,14081,15686,16824,59858,662960,3919,408,126387,4521,28839,0
92108,2010,624763,513322,3215,9840,6511,8451,33754,431611,3188,127,76062,1204,21721,0
92109,2010,1471882,1066507,35605,22191,26750,23103,87556,1031281,6528,573,191632,6343,48284,0
92110,2010,693664,491127,17777,10229,15833,12212,42192,457762,4531,338,79131,2166,25082,0
92111,2010,1010719,763810,7933,20603,22899,16225,51820,618403,7215,574,96378,1488,42877,0
92113,2010,471171,398620,4065,19375,2769,3226,8690,177082,5371,68,18662,56,47373,0
92114,2010,1089093,871564,1563,32902,21244,16450,43653,563873,11169,511,69467,272,63354,0
92115,2010,1035793,788981,13002,23495,17232,15500,56265,618525,7623,559,100192,1906,54453,0
92116,2010,913981,724198,11675,17599,11366,14506,49803,604426,4118,473,103117,2676,33146,0
92117,2010,1416716,1044847,15762,25848,34129,25100,81472,910038,8083,906,151020,2985,48519,0
92118,2010,815246,433626,60099,4301,26842,23076,66173,573267,5635,383,119467,7433,25232,0
92119,2010,722452,501350,5127,11161,25318,13959,44250,472406,4836,627,76621,1431,22329,0
92120,2010,956061,610299,14857,12265,34614,19838,64225,640886,5430,901,115046,3808,29811,0
92121,2010,296516,185916,13304,1649,2288,5940,26010,211463,4398,106,46319,1963,9100,0
92122,2010,1423055,998217,45071,13811,37953,22881,92952,1016715,6952,700,192786,7307,38845,0
92123,2010,791299,582428,17296,12609,14453,11929,45680,517438,5589,407,89863,1612,33079,0
92124,2010,884542,674770,9837,10943,19458,16900,55910,582362,6402,543,100997,3001,35621,0
92126,2010,1832812,1560715,11820,37064,26140,32495,102150,1157437,13809,906,177504,2974,68870,0
92127,2010,1887938,1489620,61911,16211,17178,70910,189571,1284726,11158,817,276744,18188,51778,0
92128,2010,1836521,1344930,31903,21231,58065,48752,142325,1238554,9831,1304,224437,8477,50235,0
92129,2010,1910732,1589487,17631,24412,23570,51588,155674,1277630,12051,1595,234674,10073,53255,0
92130,2010,3295764,2387394,163678,19389,19635,96272,344914,2400905,19977,1134,590700,44499,86206,0
92131,2010,1791686,1371523,35896,14195,23062,54420,169715,1242861,8275,1224,265259,17084,46860,0
92139,2010,665089,545076,127,18017,11470,9345,26926,359231,7069,314,44777,138,35484,0
92154,2010,1445658,1155037,7105,46191,21740,23899,61473,748599,17958,446,98003,908,88517,0
92173,2010,531524,438553,912,30248,3577,4028,9791,202460,6758,78,20274,140,51279,0
92201,2010,805827,601195,12613,32327,21229,17167,39216,384387,8366,293,50447,1083,59555,0
92203,2010,594928,392341,25997,14035,24726,20785,47111,351351,4452,294,55948,1692,24250,0
92210,2010,377652,103454,72172,1557,15182,13267,44628,261387,6451,220,56090,5247,33400,0
92211,2010,730219,278882,31366,10934,67131,27402,59913,466593,2950,666,81636,3517,22002,0
92220,2010,559818,263217,2134,14215,29036,8746,22653,333227,3281,323,55962,923,30730,0
92223,2010,964012,742377,4228,23266,25557,33237,73358,540999,8730,436,77033,1425,43905,0
92225,2010,216343,179781,742,5108,3893,2399,10047,113730,2235,167,15326,209,14603,0
92227,2010,429486,319396,4482,15134,7157,4525,18904,244179,4004,159,39009,1187,26171,0
92230,2010,26429,19532,63,1476,397,217,631,12110,264,14,1547,0,2459,0
92231,2010,610219,472148,2642,62293,3036,4811,14677,227738,7600,96,25595,364,58258,0
92233,2010,51700,40604,83,2312,728,376,1532,27499,612,22,3864,0,3538,0
92234,2010,739817,533894,8522,22851,19438,16270,39139,372266,6131,337,52775,903,45720,0
92236,2010,491535,418973,2202,30113,1823,5399,12601,156003,6685,103,14167,229,62090,0
92240,2010,389233,292263,1650,17287,8828,5057,13450,171784,3370,187,21443,210,34028,0
92241,2010,79354,48438,1182,3222,3462,989,2972,39292,476,34,5442,0,4749,0
92242,2010,15142,7854,324,378,881,155,479,8068,73,17,1133,0,697,0
92243,2010,723845,553442,3481,29193,10339,8005,30607,391026,7141,282,58740,1280,46452,0
92249,2010,98575,84038,98,6602,521,1338,3479,43121,1419,19,4503,0,8186,0
92250,2010,143634,101512,428,6984,2690,1251,6017,79651,1383,48,12611,297,8026,0
92251,2010,361044,319263,1068,8451,3024,6254,19722,214233,4265,134,29509,281,17137,0
92252,2010,126991,92874,1045,3715,3186,1728,5126,70523,991,95,9592,65,7167,0
92253,2010,1113640,590993,61229,21284,45771,39978,96935,710243,6457,529,134797,7145,42438,0
92254,2010,196462,172707,-50,16792,323,419,990,40983,2137,0,2746,0,29865,0
92256,2010,58394,40744,909,2257,1346,758,2462,35094,344,40,5737,0,2870,0
92257,2010,16173,10789,59,855,591,74,286,7672,135,0,915,0,1104,0
92260,2010,743495,359284,42988,14309,42058,22349,56159,460491,4394,742,82647,4559,27408,0
92262,2010,558155,330473,15250,12428,19254,14839,39322,333101,2670,461,60182,2292,25403,0
92264,2010,485910,234680,28920,8949,24811,13855,36967,307244,2192,358,58089,2651,17779,0
92270,2010,810171,295518,75183,6955,45137,32828,85480,539583,3109,656,119833,10870,30529,0
92274,2010,255251,220313,779,12885,1609,1155,3033,76681,2812,35,7557,149,32130,0
92276,2010,100345,64128,1210,3823,4224,1988,4535,48806,832,43,6259,0,6005,0
92277,2010,332926,273805,1562,5059,6034,2711,9231,181051,3376,179,23333,209,23792,0
92281,2010,30155,22319,98,1623,499,176,825,14608,285,0,1926,0,2545,0
92282,2010,10316,7632,0,504,0,187,484,5312,82,0,695,0,720,0
92283,2010,34431,22960,0,1824,785,84,373,16014,357,0,1855,0,2846,0
92284,2010,356435,255927,1990,10376,10266,5442,16928,198981,2740,182,27836,326,18536,0
92285,2010,19430,12130,195,1087,841,222,595,9422,129,16,1159,0,1186,0
92301,2010,314133,261452,176,14830,2404,3911,11863,127500,4071,72,13313,97,33693,0
92305,2010,13868,8911,203,340,535,237,845,8271,75,0,1344,0,540,0
92307,2010,734985,529661,5931,19451,22485,13472,43052,421820,5990,555,63427,1468,36959,0
92308,2010,645199,443827,2516,18253,23139,11429,35748,358954,5097,391,53867,1153,35085,0
92309,2010,8010,7259,0,133,0,0,0,2774,86,0,278,0,747,0
92310,2010,106910,105291,-6,1082,0,432,1053,54034,1643,0,5780,0,11372,0
92311,2010,459146,360733,2019,9542,9881,4216,16903,260671,4544,433,34726,284,27425,0
92313,2010,281269,218040,308,6633,7258,4984,15573,169763,2450,195,24714,356,11357,0
92314,2010,142162,88962,1236,4064,5174,4393,9549,77683,868,126,11341,187,6211,0
92315,2010,170048,92352,4243,4352,7392,5757,13152,96739,937,127,15560,625,6960,0
92316,2010,382468,307145,562,17182,4642,6133,15362,161201,4684,172,17673,141,32340,0
92320,2010,159817,106193,416,4418,6739,2610,8495,93889,1028,114,13759,227,6272,0
92324,2010,811581,665500,1734,28712,10644,11587,34514,393936,9384,409,50414,767,60785,0
92327,2010,8985,6606,0,218,199,49,235,5366,54,0,745,0,383,0
92328,2010,7520,7060,0,0,0,0,0,4919,18,0,673,0,244,0
92335,2010,1051696,874933,2003,47352,9794,12570,32958,415438,13662,360,42290,377,99823,0
92336,2010,1788988,1565603,3325,47053,16041,60591,133103,932060,20604,902,123124,2285,97431,0
92337,2010,657980,546516,252,21553,4718,20713,42936,329618,8348,272,44467,575,40478,0
92339,2010,25962,19157,76,571,594,466,1720,16534,165,19,2671,0,930,0
92342,2010,143061,95758,1037,3092,5821,2734,8020,86940,1154,119,12865,131,5601,0
92344,2010,392156,307642,6371,11661,5773,8840,24928,210795,4393,265,29009,675,20784,0
92345,2010,1020245,798246,3937,43625,18943,13876,44053,502661,10746,490,61888,684,70659,0
92346,2010,1277254,890530,5015,23506,25117,25744,75098,768888,9244,742,138568,2753,58790,0
92347,2010,18119,13702,241,399,487,137,565,9771,153,22,1234,0,1116,0
92354,2010,520279,410765,2633,6528,12236,9423,33346,318974,4065,347,54800,1919,21677,0
92356,2010,63416,44347,267,3224,1780,740,2469,31563,480,31,4072,0,4045,0
92358,2010,14130,10136,183,621,374,222,685,8154,87,0,1142,0,556,0
92359,2010,158429,131287,523,4407,2671,2946,8604,89293,1548,103,12148,173,8071,0
92363,2010,73278,49510,1580,1933,2581,686,2779,42114,516,33,5971,0,4294,0
92365,2010,28553,21528,158,782,810,263,1065,15806,281,90,2073,0,1806,0
92368,2010,10134,7120,0,334,341,113,364,4994,73,0,700,0,762,0
92371,2010,143338,110173,383,5799,2568,2565,7548,74855,1468,141,9954,107,8128,0
92372,2010,91642,67499,1266,3150,2295,1591,5125,52589,790,115,7233,98,4354,0
92373,2010,1216806,808877,27110,12286,32230,25293,90294,829411,6241,1027,164296,8485,37782,0
92374,2010,887113,680544,5645,16937,17376,16611,54454,535608,7130,607,88410,2891,40105,0
92376,2010,978361,802955,378,41472,13112,13577,36499,417623,12799,494,44129,289,86351,0
92377,2010,429796,353728,1456,12510,7672,10574,26892,226368,4920,315,29616,378,24238,0
92392,2010,828178,683035,4288,29199,11673,15096,42880,419528,9907,326,51539,541,54409,0
92394,2010,397866,331494,278,15024,4782,6885,18679,189764,5218,165,22247,227,32798,0
92395,2010,820131,430674,6140,19230,13189,8703,47744,402305,5291,252,77714,878,55065,0
92397,2010,143365,100479,3466,3325,4026,2804,9550,90616,968,72,14407,378,5595,0
92399,2010,1202337,896856,9750,25835,25062,28170,82029,709452,9153,812,113711,3458,50229,0
92401,2010,15844,11522,351,418,0,219,529,5238,141,0,640,0,2241,0
92404,2010,713513,528342,1266,23328,15984,8684,28402,344111,6835,416,46386,730,61397,0
92405,2010,333224,260715,873,12858,5251,3179,10597,152681,3403,151,18653,82,30420,0
92407,2010,833646,695687,2173,26040,10026,15189,42052,429903,9474,514,55560,795,55924,0
92408,2010,156355,129270,316,5227,1270,1851,6406,71169,1635,47,9798,242,14686,0
92410,2010,395442,323075,-54,18920,3160,2564,7969,133238,4717,87,12707,44,50233,0
92411,2010,225172,179677,527,10503,2316,1365,4242,78459,2540,52,7759,0,27448,0
92501,2010,321875,244640,2957,11258,4199,4484,15662,175306,3215,158,26893,549,21043,0
92503,2010,1463196,1189239,4131,46744,20960,31849,84887,760562,14072,790,107305,2517,83805,0
92504,2010,926496,689154,6069,28948,21224,16832,49297,504241,8142,631,74884,1906,49461,0
92505,2010,720184,594199,2052,25850,10504,12085,33629,366592,7562,328,47822,598,43653,0
92506,2010,1471874,955393,27903,21464,37087,31636,111472,965527,8644,1225,185629,7599,51877,0
92507,2010,714600,561333,12588,22291,12821,9308,30541,392252,6029,375,56728,1221,43747,0
92508,2010,873499,726739,-790,17445,10165,25655,67335,512452,7735,479,79601,2019,33452,0
92509,2010,1060770,858268,3214,40822,16261,17577,49492,512046,11317,598,64375,794,72836,0
92518,2010,42863,12134,507,376,4714,267,1666,27267,117,0,4384,0,1367,0
92530,2010,721228,592312,1896,29263,9266,15356,38451,364533,7548,321,46786,482,44281,0
92532,2010,386613,325473,1424,10008,5091,14701,30657,214246,4104,141,29856,592,18057,0
92536,2010,67516,39510,2726,2639,2883,1558,4126,38506,401,44,5927,0,2576,0
92539,2010,56576,35443,742,2547,2109,909,2569,29686,344,26,4131,67,2862,0
92543,2010,334384,230576,1513,16254,9325,3347,10323,155185,2795,165,20266,239,26261,0
92544,2010,720055,495658,5439,22949,19287,10857,37418,402856,6147,483,60685,1135,37615,0
92545,2010,614230,386256,5978,20638,30353,13327,30768,326689,5164,298,43384,359,30941,0
92548,2010,69900,48298,8,3909,2086,901,2423,30849,589,54,3802,0,5282,0
92551,2010,427671,362892,681,17072,4273,8228,20078,198626,5744,164,22172,132,32740,0
92553,2010,836418,698983,553,37712,9475,10851,29865,365554,10516,289,39758,248,73494,0
92555,2010,740832,617134,1684,19551,11029,22451,51725,397392,8123,410,53211,928,38077,0
92557,2010,887319,720403,1543,27210,14589,16873,47758,475836,9086,458,63584,767,49351,0
92561,2010,35168,19822,606,558,1493,1182,3007,21879,136,25,3980,240,1186,0
92562,2010,1691220,1217863,25672,30567,35995,49481,134736,1034001,13775,1063,183405,6642,65080,0
92563,2010,1261137,1033258,4599,31770,21042,40902,92397,710949,13107,466,100547,1955,55342,0
92567,2010,151585,114659,413,6056,3058,2606,7853,79623,1429,77,10943,220,8515,0
92570,2010,601935,467358,5649,26993,8719,12342,29853,264646,6092,336,34365,775,50131,0
92571,2010,654385,563853,734,28969,4223,17395,34488,279351,9655,210,28289,181,55872,0
92582,2010,230837,188858,924,8462,2828,7254,14780,112945,3038,90,13517,164,15322,0
92583,2010,355203,267597,885,15419,7123,6074,15329,166069,3650,119,20855,262,26436,0
92584,2010,857701,675398,3604,24125,20439,27909,61633,477640,8879,404,65713,906,37715,0
92585,2010,340501,271893,2467,11180,6988,10320,22312,179313,3627,177,23159,254,18398,0
92586,2010,352954,204384,803,12811,19667,6155,15889,191997,2308,264,26225,213,13774,0
92587,2010,403690,282757,8095,10128,12412,10483,29383,238342,2736,333,38430,1198,16338,0
92590,2010,142162,74618,5473,2127,2590,4510,13037,90241,778,43,21213,935,6306,0
92591,2010,943869,736015,8570,20788,16837,23444,64615,562415,8029,410,89713,2390,37065,0
92592,2010,2072660,1550788,30435,36427,31247,62005,163399,1281341,17187,1122,222565,8069,75063,0
