ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
91011,2010,2086302,1079034,119201,5120,28434,56180,223419,1548262,8475,753,416104,26172,67454,0
91016,2010,1103314,839181,30732,17850,17711,26949,78982,693986,6935,482,121716,4147,44907,0
91020,2010,191202,145383,5154,3745,2733,3266,10792,119194,1220,61,19394,569,6839,0
91024,2010,540719,350930,12555,4364,12553,13431,48644,378758,2070,259,83531,4586,18902,0
91030,2010,1193420,757304,56957,11962,19053,27193,102421,838672,6342,410,183457,11911,38048,0
91040,2010,579776,441164,9897,11273,11841,15637,44429,356682,3405,486,63630,1814,23222,0
91042,2010,595366,462510,2815,13480,10903,15551,39732,348456,3952,450,55134,1082,25890,0
91101,2010,704001,500982,33128,7686,9631,9954,47951,487240,3419,108,95138,4132,26028,0
91103,2010,761206,510006,18772,8866,11698,17193,62044,484296,5289,291,107609,5999,39994,0
91104,2010,963944,767186,7650,15187,14666,22042,68538,602523,5858,552,109090,4535,40600,0
91105,2010,1105170,559499,97437,5178,24888,25862,110215,808968,4759,299,202112,12767,33776,0
91106,2010,1277880,736584,174236,9198,14816,23091,111620,943407,4712,277,211134,10147,42331,0
91107,2010,1438149,934730,89466,14745,28506,35349,121175,993147,6824,685,209709,10247,45190,0
91108,2010,1443323,648943,107420,2637,21526,45676,170145,1068517,6199,377,288001,20864,57132,0
91201,2010,487591,372515,1581,10601,7227,9999,29533,291685,3846,231,49884,1474,22446,0
91202,2010,682107,477830,20635,10944,12966,14886,50700,445741,3836,229,85870,4495,25269,0
91203,2010,357460,239281,4570,6397,3721,4592,19229,229545,4484,78,45584,1084,20363,0
91204,2010,234595,198227,197,6697,1819,2028,7729,130574,3128,55,17797,228,14362,0
91205,2010,574642,465455,28347,14435,6404,5969,20472,324823,4208,188,46339,629,33299,0
91206,2010,891978,648054,14360,16149,19089,19003,61420,573235,5020,404,107622,4781,36248,0
91207,2010,499178,286908,15578,4844,10265,12924,43872,348240,1902,169,80126,4363,17475,0
91208,2010,731680,462677,18527,6989,17048,21299,66070,493822,3515,386,105769,6024,23579,0
91210,2010,23612,15682,188,0,0,424,2474,17308,94,0,4179,315,1269,0
91214,2010,1033094,748841,25508,13115,20330,27640,82385,662284,6021,739,121050,5567,33256,0
91301,2010,1289363,854734,52121,11884,21465,38638,122715,883754,5674,984,199350,13431,36698,0
91302,2010,2696358,1219570,374962,10338,29889,69490,287086,2051643,9394,1166,548613,32219,89210,0
91303,2010,414343,341785,7791,11584,4233,5729,17221,221568,3729,98,32941,430,24297,0
91304,2010,1130725,861629,15285,23709,26989,28453,77183,671441,7854,605,113744,4333,49374,0
91306,2010,850291,691819,2688,23539,16083,20463,50480,463286,7454,454,64978,834,43275,0
91307,2010,954981,635533,56533,12957,22626,28363,79673,635896,4638,618,124505,6124,28808,0
91311,2010,1344084,877742,67453,21336,31715,37253,115504,887397,7158,766,176822,8264,49378,0
91316,2010,1639302,867326,234200,15135,27681,35845,137539,1218545,6726,648,286103,12809,55930,0
91320,2010,1826884,1400323,37234,19424,35347,50112,157057,1210816,9318,918,243302,14448,51888,0
91321,2010,809952,577934,42039,12974,17941,20297,57078,487273,5222,432,86023,3490,34032,0
91324,2010,727352,491588,6908,11581,19070,17919,59169,446811,4350,381,85714,4073,33224,0
91325,2010,858425,593284,12421,15035,21516,22458,63529,537954,5300,545,100561,4056,35009,0
91326,2010,1351157,914696,26583,15490,35754,47379,126462,879203,6266,782,176507,10294,41192,0
91331,2010,1193295,997884,2183,46254,11553,20436,45077,508468,14447,388,55684,329,100189,0
91335,2010,1225998,994976,5085,34365,17612,26800,65807,648019,11089,620,89582,1265,68775,0
91340,2010,445440,372964,1066,17574,4368,8740,19635,201660,5500,155,23285,255,33706,0
91342,2010,1569934,1297596,8386,46258,22797,37525,91973,812181,16148,915,109198,1766,94979,0
91343,2010,1015546,806287,3665,23884,19633,23408,60362,548703,8517,530,81056,1488,56296,0
91344,2010,1551473,1085427,80122,26298,37009,44500,120790,970361,9946,1020,168132,7201,55283,0
91345,2010,340070,276393,377,10157,6885,7946,19394,181326,3346,154,24211,361,18158,0
91350,2010,1054878,876876,11124,16662,15028,34493,89884,647569,7298,596,107016,3344,37190,0
91351,2010,753666,637724,2733,16418,11023,19084,50765,434007,6337,412,64579,1192,32929,0
91352,2010,730804,569510,5333,21239,10702,15167,39004,374265,8544,303,55395,1179,48476,0
91354,2010,1055398,881583,8267,14045,13199,39339,99677,670391,6363,506,122957,6191,33238,0
91355,2010,1219953,923414,11499,15856,23568,35212,103514,801874,6669,703,154627,5955,38939,0
91356,2010,1425406,813266,35627,13533,30608,40469,134284,954347,6615,601,232346,14000,50479,0
91360,2010,1445520,1015081,30828,18446,45662,34440,111482,934535,7217,863,175564,7532,45494,0
91361,2010,1517036,889408,118058,9143,37277,43419,158938,1103283,4711,775,276964,17874,44457,0
